record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
673,,TRACKING,8,6200264,6528,2085,2085,1873,0.0427952,3,0.000130929,22448,143,1007,261,14369,16269,2179,1908,20052
680,,TRACKING,8,6031271,6528,2048,2048,1794,0.0456858,3,0.000183179,22744,144,1012,212,14871,16753,2029,1908,20369
687,LiDAR scans overlap a previously propagated interval,TRACKING,8,6031271,6528,2048,2048,1794,0.0456858,3,0.000183179,22744,144,1012,212,14871,16753,2029,1908,20369
694,,TRACKING,14,6084160,6528,2166,2166,1951,0.0378118,3,0.000188484,22977,257,1027,238,15393,17574,2081,1908,21425
700,LiDAR scans overlap a previously propagated interval,TRACKING,14,6084160,6528,2166,2166,1951,0.0378118,3,0.000188484,22977,257,1027,238,15393,17574,2081,1908,21425
707,,TRACKING,13,6186815,6528,642,642,491,0.042177,3,8.90049e-05,23022,249,1080,104,4702,5280,537,1908,7365
714,,TRACKING,8,6174341,6528,2189,2189,1954,0.0430836,3,0.000385522,23306,157,1117,243,16896,19135,2376,2275,25529
721,,TRACKING,8,6240216,6528,2051,2051,1808,0.0411965,2,0.000261392,23567,155,1043,254,9992,11253,1861,2275,14823
727,,TRACKING,7,6066331,6528,596,596,462,0.0439218,3,5.42213e-05,23616,126,1021,108,4282,4818,481,2275,6666
734,,TRACKING,8,6026715,6528,2215,2215,1964,0.0389344,3,0.000118459,23862,149,1015,246,16352,18506,2488,2275,22656
741,,TRACKING,8,6076210,6528,2077,2077,1867,0.0391577,3,0.000183961,24122,148,1013,257,14938,16873,1883,2275,20423
748,LiDAR scans overlap a previously propagated interval,TRACKING,8,6076210,6528,2077,2077,1867,0.0391577,3,0.000183961,24122,148,1013,257,14938,16873,1883,2275,20423
755,,TRACKING,14,6322338,6528,2205,2205,1936,0.0410272,3,0.000213437,24376,254,1020,238,16162,18309,2258,2275,22310
761,LiDAR scans overlap a previously propagated interval,TRACKING,14,6322338,6528,2205,2205,1936,0.0410272,3,0.000213437,24376,254,1020,238,16162,18309,2258,2275,22310
768,,TRACKING,13,6154549,6528,511,511,394,0.0444634,3,6.62763e-05,24413,237,1016,87,3607,4064,382,2275,5894
775,,TRACKING,8,6160570,6528,2176,2176,1868,0.0412318,3,0.000308483,24668,138,1012,227,16743,18831,2822,2275,23317
782,,TRACKING,8,6138127,6528,2195,2195,1951,0.0401463,3,5.34884e-05,24879,152,1018,401,15592,17599,1836,2275,21264
789,LiDAR scans overlap a previously propagated interval,TRACKING,8,6138127,6528,2195,2195,1951,0.0401463,3,5.34884e-05,24879,152,1018,401,15592,17599,1836,2275,21264
795,,TRACKING,13,6064567,6528,1977,1977,1738,0.0442282,3,0.000237758,25091,226,962,213,13555,15331,1706,2275,18672
802,,TRACKING,8,6248041,6528,2284,2284,2053,0.0381469,3,7.8961e-05,25298,140,963,244,15174,17266,2009,2260,23135
809,LiDAR scans overlap a previously propagated interval,TRACKING,8,6248041,6528,2284,2284,2053,0.0381469,3,7.8961e-05,25298,140,963,244,15174,17266,2009,2260,23135
816,,TRACKING,14,6309951,6528,1889,1889,1600,0.0403188,3,0.000246985,25469,247,995,205,13340,15020,1633,2260,18316
822,LiDAR scans overlap a previously propagated interval,TRACKING,14,6309951,6528,1889,1889,1600,0.0403188,3,0.000246985,25469,247,995,205,13340,15020,1633,2260,18316
829,,TRACKING,13,6231645,6528,702,702,519,0.0453367,3,5.96241e-07,25518,237,1075,117,5428,6070,631,2260,8257
836,,TRACKING,8,6123249,6528,1814,1814,1492,0.0456085,3,0.00043174,25709,154,1104,216,14348,15974,1720,2260,19330
843,,TRACKING,8,6057319,6528,2221,2221,2006,0.0362955,3,0.000128342,25903,148,1072,262,16077,18237,1868,2260,21825
850,,TRACKING,8,6176819,6528,784,784,583,0.0429932,3,0.000100289,25951,147,1022,111,5780,6434,727,2260,8585
856,,TRACKING,7,6199429,6528,1785,1785,1501,0.041962,3,0.000153095,26129,126,1016,228,13093,14684,1573,2260,17799
863,,TRACKING,8,6233088,6528,2108,2108,1936,0.0332534,3,5.66469e-05,26298,146,1019,246,14787,16846,1624,2260,20092
870,LiDAR scans overlap a previously propagated interval,TRACKING,8,6233088,6528,2108,2108,1936,0.0332534,3,5.66469e-05,26298,146,1019,246,14787,16846,1624,2260,20092
877,,TRACKING,14,6190673,6528,1782,1782,1457,0.0453271,3,0.000155294,26490,268,1061,287,14033,15648,1985,2260,19622
884,LiDAR scans overlap a previously propagated interval,TRACKING,14,6190673,6528,1782,1782,1457,0.0453271,3,0.000155294,26490,268,1061,287,14033,15648,1985,2260,19622
890,,TRACKING,13,6190673,6528,983,983,723,0.0424716,3,8.07651e-07,26552,247,1062,153,7718,8603,886,2260,11112
897,,TRACKING,8,6124635,6528,1685,1685,1327,0.0440018,3,0.000193937,26708,146,1043,201,13334,14803,1692,2513,20568
904,,TRACKING,8,7597871,6528,2060,2060,1895,0.0356979,3,5.14744e-05,26889,148,1044,242,14006,16013,1774,2513,19430
911,,TRACKING,8,6168447,6528,1087,1087,849,0.0431537,2,7.18847e-05,26959,154,1048,167,5739,6362,966,2513,8888
917,,TRACKING,8,6142063,6528,1593,1593,1282,0.0452435,3,0.000121873,27087,144,1040,176,12069,13418,1489,2513,16425
924,,TRACKING,8,6041191,6528,1967,1967,1855,0.0322715,3,6.09843e-05,27234,154,1060,300,14022,16117,1506,2513,19364
931,LiDAR scans overlap a previously propagated interval,TRACKING,8,6041191,6528,1967,1967,1855,0.0322715,3,6.09843e-05,27234,154,1060,300,14022,16117,1506,2513,19364
938,,TRACKING,13,6166832,6528,1519,1519,1189,0.0455857,3,0.000121105,27378,248,1085,195,12630,13994,1507,2513,17224
945,LiDAR scans overlap a previously propagated interval,TRACKING,13,6166832,6528,1519,1519,1189,0.0455857,3,0.000121105,27378,248,1085,195,12630,13994,1507,2513,17224
952,,TRACKING,13,6166832,6528,1215,1215,938,0.0424419,3,0.000222,27446,266,1110,165,9829,10876,1079,2513,13644
958,,TRACKING,8,6217267,6528,1305,1305,1022,0.0417049,3,0.000106725,27524,152,1069,161,10705,11866,1200,2513,14590
965,,TRACKING,8,6316720,6528,1937,1937,1795,0.0290348,3,0.000265495,27625,150,1076,263,13721,15758,1685,2513,19173
972,,TRACKING,8,6132002,6528,1273,1273,970,0.0416661,3,7.68535e-05,27699,154,1077,192,10751,11863,1155,2513,14627
978,,TRACKING,8,6274929,6528,1260,1260,955,0.0439864,3,0.000249825,27768,152,1113,161,10310,11360,1156,2686,16779
985,,TRACKING,8,6212750,6528,1985,1985,1831,0.0285052,3,0.000111386,27876,149,1063,245,13558,15569,1628,2686,18851
992,LiDAR scans overlap a previously propagated interval,TRACKING,8,6212750,6528,1985,1985,1831,0.0285052,3,0.000111386,27876,149,1063,245,13558,15569,1628,2686,18851
999,,TRACKING,13,6044764,6528,1193,1193,889,0.0421245,3,8.77369e-05,27949,244,1050,201,10283,11409,1398,2686,14496
1006,LiDAR scans overlap a previously propagated interval,TRACKING,13,6044764,6528,1193,1193,889,0.0421245,3,8.77369e-05,27949,244,1050,201,10283,11409,1398,2686,14496
1013,,TRACKING,14,6250900,6528,1512,1512,1206,0.0435168,3,0.000466424,28085,262,1052,184,11795,13134,1827,2686,16633
1019,,TRACKING,7,6125551,6528,1021,1021,724,0.0436858,3,0.00017349,28130,138,1023,172,8288,9082,850,2686,11401
