cohort,run,path,size_bytes,sha256
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/scenario.json,1199885,3aed066f1cf411ea97616764031c9c7871d4a0d00af8664a07ccf8cc65986188
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/scenario.jsonl,33681053,ae16fce6d99e77f1ee9d4cc840ac7e252568a0db63b53be3effc1e06308cc98b
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/samples.jsonl,60184112,b0576983cc9ae8680bf9e52eb7d6247f28ff3cc492e9bfa52432e45b31520511
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/report.json,25960947,d3f07a5ce7c444e1b3723e4a571f1fcdb74b6c9a893c84629187f5c5d641ce70
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/rosbag/rosbag_0.db3,538374144,4a55de4e9eb79190186921ce510268d98a8c3c4aab7d55e6aeb872b85590d130
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/metadata.json,251438,492879534351055cd44240bc8bfa9c95f5feb72f3cf2c739e1b4f6d3f9faadb1
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/scenario.json,1114261,45089233695b0bf7959f77971cbc5ccdea71b3acd70c1cc700c6eb2fd4ba0b79
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/scenario.jsonl,32462188,20eac0860c8205d721bfe0e2081971a19b4e3939d33435ae5a1df8bed56b2360
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/samples.jsonl,58588556,8bf297dd345e458346e43a9d41ed33bee47fdcec5d035f680f4bb12c851e537e
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/report.json,25567727,f061cbae3f853d035209372890c050f4605265e083c7db74b7e7a9101778fcab
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572/rosbag/rosbag_0.db3,534695936,35ddd5d42b7225ac613013d39bbc56f19de41040f3822dddacdd2d365d95384e
