record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
3184,,TRACKING,8,6189255,6528,668,668,388,0.0325434,3,2.27459e-05,41302,131,898,126,4932,5508,429,3957,7244
3191,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229925245073 current_scan_start_ns=1701245229924988985 current_scan_end_ns=1701245229957623985 overlap_duration_ns=256088 scan_index=468,TRACKING,8,6189255,6528,668,668,388,0.0325434,3,2.27459e-05,41302,131,898,126,4932,5508,429,3957,7244
3198,,TRACKING,14,6189255,6528,2216,2216,1860,0.029627,3,0.000129252,41357,226,922,300,16857,19661,1867,3957,23193
3205,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229991789129 current_scan_start_ns=1701245229991451263 current_scan_end_ns=1701245230024086263 overlap_duration_ns=337866 scan_index=470,TRACKING,14,6189255,6528,2216,2216,1860,0.029627,3,0.000129252,41357,226,922,300,16857,19661,1867,3957,23193
3212,,TRACKING,13,6186850,6528,1754,1754,1335,0.0297122,3,0.000154371,41385,200,863,257,14252,16335,1494,3957,19374
3218,,TRACKING,8,6001500,6528,2198,2198,1898,0.0270008,3,8.70703e-05,41425,122,873,299,17341,20199,1779,3957,23529
3225,,TRACKING,8,6021318,6528,852,852,537,0.0362363,3,2.99246e-07,41433,133,911,236,6343,7158,580,3957,9263
3232,,TRACKING,8,6373167,6528,1748,1748,1337,0.0325232,3,0.000174584,41455,129,900,238,14438,16566,1654,3957,19666
3238,,TRACKING,8,6101626,6528,2036,2036,1775,0.0265544,3,9.73585e-05,41494,124,887,284,14936,17661,1732,3957,20942
3246,,TRACKING,8,6101626,6528,945,945,585,0.0353206,2,0.000233779,41502,122,875,168,4783,5371,717,3957,7410
3252,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230225323942 current_scan_start_ns=1701245230224805593 current_scan_end_ns=1701245230257440593 overlap_duration_ns=518349 scan_index=477,TRACKING,8,6101626,6528,945,945,585,0.0353206,2,0.000233779,41502,122,875,168,4783,5371,717,3957,7410
3259,,TRACKING,13,6256868,6528,2069,2069,1799,0.0280317,3,0.000257653,41567,210,886,280,15642,18373,1773,3957,21744
3266,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230291778114 current_scan_start_ns=1701245230291496038 current_scan_end_ns=1701245230324131038 overlap_duration_ns=282076 scan_index=479,TRACKING,13,6256868,6528,2069,2069,1799,0.0280317,3,0.000257653,41567,210,886,280,15642,18373,1773,3957,21744
3273,,TRACKING,13,6154605,6528,1581,1581,1106,0.0362967,3,0.00015218,41593,195,872,241,12418,14121,1422,4133,21193
3279,,TRACKING,8,6166832,6528,1980,1980,1787,0.0249038,3,0.000155215,41623,128,873,369,14624,17372,1607,4133,20632
3286,,TRACKING,8,6129647,6528,1178,1178,784,0.0354107,3,2.58535e-05,41654,137,891,192,9500,10716,1049,4133,13172
3293,,TRACKING,8,6154547,6528,1502,1502,1070,0.0357374,3,0.000477029,41689,129,918,218,12304,14004,1486,4133,16927
