run,origin,kind,bag_observer_ns,ros_now_ns,px4_source_stamp_ns,diagnostic_sequence,attempt_generation,outcome,nav_state,executor_in_charge,flags,retry_deadline_steady_ns,raw_command,raw_result,source_file
W3,AUDIT,VEHICLE_STATUS,1790145671746211989,30568000000,30568000000,381,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145672366217245,31072000000,31072000000,383,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145673006245058,31576000000,31576000000,385,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,PX4_RAW,RAW_MODE_COMPLETED,1790145787065800725,,15496000000,,,,17,,,,:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/px4_protocol_raw.jsonl
W4,AUDIT,VEHICLE_STATUS,1790145787088624043,15508000000,15508000000,272,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145787728589013,16012000000,16012000000,287,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145788348568894,16516000000,16516000000,300,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145788988627231,17020000000,17020000000,315,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145789648643948,17524000000,17524000000,330,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145790268601114,18028000000,18028000000,344,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145790908723669,18532000000,18532000000,358,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145791528685594,19036000000,19036000000,372,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145792168575600,19540000000,19540000000,387,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,PX4_RAW,RAW_MODE_COMMAND_ACK,1790145792288584491,,19648000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/px4_protocol_raw.jsonl
W4,AUDIT,VEHICLE_STATUS,1790145792308564124,19648000000,19648000000,390,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,PX4_RAW,RAW_MODE_COMMAND_ACK,1790145792423687316,,19756000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/px4_protocol_raw.jsonl
W4,AUDIT,EXECUTOR_ACTIVATE,1790145792428579478,19744000000,0,394,0,0,,,0,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,PX4_RAW,RAW_HOLD_COMMAND,1790145793605532314,,0,,,,,,,,100001:4.0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/px4_protocol_raw.jsonl
W4,PX4_RAW,RAW_MODE_COMMAND_ACK,1790145793623754988,,20716000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/px4_protocol_raw.jsonl
W4,AUDIT,HOLD_REQUEST,1790145793624757454,20700000000,0,520,0,0,,,9,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,SCHEDULE_ATTEMPT,1790145793624758541,20700000000,0,521,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145793648587195,20728000000,20728000000,525,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145794288649481,21232000000,21232000000,526,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145794908578924,21736000000,21736000000,528,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145795548577505,22240000000,22240000000,529,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145796168561825,22744000000,22744000000,531,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145796808642658,23248000000,23248000000,533,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145797428588115,23752000000,23752000000,534,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145798068576552,24256000000,24256000000,536,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145798688628898,24760000000,24760000000,537,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145799328674622,25264000000,25264000000,539,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145799948579949,25768000000,25768000000,541,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145800588699914,26272000000,26272000000,542,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145801208575253,26776000000,26776000000,544,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,AUDIT,VEHICLE_STATUS,1790145801848600253,27280000000,27280000000,546,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,AUDIT,VEHICLE_STATUS,1790145897294746029,6812000000,6812000000,33,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,AUDIT,VEHICLE_STATUS,1790145897914723394,7316000000,7316000000,46,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,AUDIT,VEHICLE_STATUS,1790145898554834626,7820000000,7820000000,61,0,1,4,0,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,PX4_RAW,RAW_MODE_COMMAND_ACK,1790145898630027759,,7892000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/px4_protocol_raw.jsonl
