run,kind,ros_now_ns,source_stamp_ns,bag_observer_ns,diagnostic_sequence,world_generation,world_revision,active_bundle_generation,outcome,flags,reason,dropped_input_count,source_file
W3,HOLD_AUTO_LOITER_STATUS,28552000000,28552000000,1790145669226244681,375,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,29056000000,29056000000,1790145669846246294,376,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,29556000000,29560000000,1790145670486227288,378,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,30064000000,30064000000,1790145671106252641,380,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,30568000000,30568000000,1790145671746211989,381,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,31072000000,31072000000,1790145672366217245,383,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,31576000000,31576000000,1790145673006245058,385,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,FAULT_START,20216000000,20200000000,,,,,,,,,0,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064238-49492/audit_world_fault.jsonl
W4,WORLD_STALE_REJECT,20604000000,20100000000,1790145793486305431,1014,2,172,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,COMMAND_SUSPEND,20604000000,20100000000,1790145793486308429,1015,2,172,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,ADAPTER_LEASE_DISPOSITION,20700000000,20572000000,1790145793624767301,522,,,2,0,1,1,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/audit_events.jsonl
W4,HOLD_REQUEST,20700000000,0,1790145793624757454,520,,,,0,9,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_SCHEDULE_ATTEMPT,20700000000,0,1790145793624758541,521,,,,0,11,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,20728000000,20728000000,1790145793648587195,525,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,21232000000,21232000000,1790145794288649481,526,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,21736000000,21736000000,1790145794908578924,528,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,22240000000,22240000000,1790145795548577505,529,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,22744000000,22744000000,1790145796168561825,531,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,FAULT_END,23220000000,,,,,,,,,,30,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064238-49492/audit_world_fault.jsonl
W4,HOLD_AUTO_LOITER_STATUS,23248000000,23248000000,1790145796808642658,533,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,WORLD_STALE_REJECT,23340000000,20100000000,1790145796906300746,1360,2,172,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,COMMAND_SUSPEND,23340000000,20100000000,1790145796906310978,1361,2,172,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,FIRST_FRESH_WORLD_AFTER_FAULT,23356000000,23300000000,1790145796926258861,1362,2,173,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,RECERT_START_AFTER_FAULT,23356000000,23300000000,1790145796926265818,1363,2,173,0,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,RECERT_END_AFTER_FAULT,23356000000,23300000000,1790145796926269043,1364,2,173,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,WORLD_COMMIT_AFTER_FAULT,23356000000,23300000000,1790145796926272110,1365,2,173,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O4_WORLD_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,23752000000,23752000000,1790145797428588115,534,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,24256000000,24256000000,1790145798068576552,536,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,24760000000,24760000000,1790145798688628898,537,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,25264000000,25264000000,1790145799328674622,539,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,25768000000,25768000000,1790145799948579949,541,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,26272000000,26272000000,1790145800588699914,542,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,26776000000,26776000000,1790145801208575253,544,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W4,HOLD_AUTO_LOITER_STATUS,27280000000,27280000000,1790145801848600253,546,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W4-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,FAULT_START,25620000000,25600000000,,,,,,,,,0,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064439-52901/audit_world_fault.jsonl
W5,WORLD_STALE_REJECT,26016000000,25500000000,1790145921285922841,1224,2,215,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,COMMAND_SUSPEND,26016000000,25500000000,1790145921285925751,1225,2,215,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,ADAPTER_LEASE_DISPOSITION,26116000000,25996000000,1790145921430871744,393,,,2,0,1,1,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/audit_events.jsonl
W5,HOLD_REQUEST,26116000000,0,1790145921430866016,391,,,,0,9,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_SCHEDULE_ATTEMPT,26116000000,0,1790145921430870441,392,,,,0,11,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,26144000000,26144000000,1790145921454796793,396,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,26648000000,26648000000,1790145922094790132,397,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,27152000000,27152000000,1790145922714744085,399,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,27656000000,27656000000,1790145923354777544,401,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,28160000000,28160000000,1790145923974776606,402,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
