run,request_id,planning_cycle_id,structural_class,observed_phases,reasons
7,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
8,4,229,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
8,4,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
8,5,358,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
8,5,451,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,452,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,453,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,454,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,455,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,456,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,457,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,5,471,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
8,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
9,2,54,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
9,2,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
9,3,166,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
9,3,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
9,3,279,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
9,4,372,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,4,373,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,4,374,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,400,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
9,5,517,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,518,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,521,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,522,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,523,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,524,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,5,537,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
9,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
10,3,143,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
10,3,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
