run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,765,,,,,,0.0,,
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,765,0.001,1.839,3.9610000000000003,5.309,,6.1690000000000005,1.9346209150326799,
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,919,7.297,27.048000000000002,38.757,47.018,,87.694,27.721124047878128,
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,919,2.411,8.176,12.841000000000001,14.818,,19.593,8.450328618063113,
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,765,0.0,0.0,0.0,1.181,,6.05,0.03040392156862745,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,967,,,,,,0.0,,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,967,,,,,,0.0,,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,967,0.001,1.659,3.5580000000000003,5.011,,8.815,1.8284943123061013,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,988,15.974,64.161,79.834,92.82600000000001,,111.60000000000001,63.40737145748988,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,988,6.2490000000000006,11.736,15.093,17.342,,19.128,11.905107287449393,
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,967,0.0,0.0,0.0,0.001,,5.632,0.023682523267838675,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,2043,,,,,,0.0,,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,2043,,,,,,0.0,,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2043,0.001,1.7570000000000001,3.833,5.799,7.138,8.188,1.8802589329417525,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1852,17.615000000000002,63.393,81.485,94.831,122.077,126.401,63.39091252699784,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1852,6.9990000000000006,11.613,15.248000000000001,17.165,20.078,23.12,11.82504967602592,
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,BLOCKED,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2043,0.0,0.0,0.0,0.001,2.915,5.6290000000000004,0.021625550660792955,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,2846,,,,,,0.0,,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,2846,,,,,,0.0,,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2846,0.002,2.029,4.868,6.519,10.222,10.499,2.274038650737878,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2512,14.605,67.587,88.13,100.649,116.916,124.723,67.75066281847134,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2512,7.011,11.724,15.582,17.672,19.436,19.57,12.000140127388535,
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,BLOCKED,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2846,0.0,0.0,0.0,0.001,4.704,6.4830000000000005,0.02183591004919185,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,1348,,,,,,0.0,,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,1348,,,,,,0.0,,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1348,0.003,1.494,3.019,4.92,6.018,6.018,1.610658753709199,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1326,20.604,63.712,77.786,88.235,103.23,104.531,63.1203137254902,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1326,6.909,11.909,15.402000000000001,17.065,18.036,18.364,12.08156108597285,
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1348,0.0,0.0,0.0,0.001,3.606,4.058,0.020125370919881307,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,2356,,,,,,0.0,,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,2356,,,,,,0.0,,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2356,0.001,1.506,4.0920000000000005,6.542,7.78,8.192,1.8024596774193549,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,3370,21.391000000000002,62.473,76.742,86.304,103.686,111.197,62.57283412462908,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,3370,6.7170000000000005,11.33,14.97,16.497,18.734,19.618000000000002,11.636531454005937,
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,2356,0.0,0.0,0.0,0.8230000000000001,3.6310000000000002,3.955,0.024165110356536502,
