run,crossing_data_source,classification,waypoint,request,epoch,odom_sequence,odom_prev_source_ns,odom_current_source_ns,crossing_observer_wall_ns,crossing_error_m,inside_ball,speed_mps,source_gap_s,latest_compatible_command_bag_ns,latest_command_source_ns,latest_command_sample,latest_command_bundle,latest_command_continuation,latest_command_valid_until_ns,first_future_continuation_bag_ns,first_future_continuation_source_ns,first_future_continuation_sample,mission_accept_bag_ns,mission_accept_source_ns,next_goal_bag_ns,next_goal_source_ns,adapter_receive_ns,mission_callback_ns,successor_activation_ns,warning
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3761,95752000000,95772000000,1790041942561517843,0.76439,1,0.852324,0.02,1790041942561323149,95772000000,2681,12,0,95872000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3762,95772000000,95792000000,1790041942584674535,0.747938,1,0.796619,0.02,1790041942581141932,95787999999,2682,12,0,95888000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3763,95792000000,95812000000,1790041942608861915,0.732669,1,0.736349,0.02,1790041942601103095,95804000000,2683,12,0,95904000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3764,95812000000,95832000000,1790041942634344791,0.718654,1,0.672304,0.02,1790041942621376287,95819999999,2684,12,0,95920000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3765,95832000000,95852000000,1790041942659465357,0.705957,1,0.605285,0.02,1790041942641338284,95835999999,2685,12,0,95936000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3766,95852000000,95872000000,1790041942684152478,0.694307,1,0.532741,0.02,1790041942681125809,95867999999,2687,12,0,95968000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3767,95872000000,95892000000,1790041942708840969,0.684476,1,0.460535,0.02,1790041942701079722,95884000000,2688,12,0,95984000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3768,95892000000,95912000000,1790041942734398562,0.676088,1,0.387249,0.02,1790041942721040067,95900000000,2689,12,0,96000000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3769,95912000000,95932000000,1790041942759818887,0.669151,1,0.312629,0.02,1790041942741104545,95915999999,2690,12,0,96016000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3770,95932000000,95952000000,1790041942783982416,0.664557,1,0.237863,0.02,1790041942781056146,95947999999,2692,12,0,96048000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3771,95952000000,95972000000,1790041942809664973,0.660498,1,0.164607,0.02,1790041942801164351,95963999999,2693,12,0,96064000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3772,95972000000,95992000000,1790041942834009479,0.657857,1,0.0917189,0.02,1790041942821131257,95980000000,2694,12,0,96080000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3773,95992000000,96012000000,1790041942858964020,0.656595,1,0.0239445,0.02,1790041942841143468,95995999999,2695,12,0,96096000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3774,96012000000,96032000000,1790041942883900805,0.65665,1,0.0475194,0.02,1790041942881210996,96028000000,2697,12,0,96128000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3775,96032000000,96052000000,1790041942909586661,0.657018,1,0.107112,0.02,1790041942901096972,96043999999,2698,12,0,96144000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3776,96052000000,96072000000,1790041942934337014,0.659449,1,0.16517,0.02,1790041942921156290,96060000000,2699,12,0,96160000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3777,96072000000,96092000000,1790041942958981065,0.662952,1,0.217686,0.02,1790041942941167566,96075999999,2700,12,0,96176000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3778,96092000000,96112000000,1790041942983616493,0.667418,1,0.263805,0.02,1790041942981069402,96108000000,2702,12,0,96208000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3779,96112000000,96132000000,1790041943009784020,0.672735,1,0.303999,0.02,1790041943001134188,96123999999,2703,12,0,96224000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3780,96132000000,96152000000,1790041943035042906,0.679628,1,0.335923,0.02,1790041943021249035,96140000000,2704,12,0,96240000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
