run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,world_source_age_at_command_stamp_ms,ROS source time,per run; diagnostic samples not event-paired,2116,52.0,128.0,212.0,284.0,367.999999,372.0,132.88279724621927,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,COUNTER_LAST_command_publication_deadline_miss_count,counter,last observed cumulative counter,531,,,,,,0.0,,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,531,,,,,,0.0,,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,531,,,,,,0.0,,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.001,0.657,1.992,2.853,,5.037,0.7122316384180791,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,adapter_setpoint_update_duration_ms,diagnostic duration,per run; diagnostic samples not event-paired,3346,0.015523,0.071365,0.13571,0.180645,0.296175,0.454516,0.07859108936043036,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,adapter_setpoint_update_duration_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,1898,0.02135,0.073094,0.131047,0.1689,0.280166,0.283164,0.07795284615384615,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,adapter_state_receive_to_update_ms,steady duration,per run; diagnostic samples not event-paired,3346,0.015206,11.549962,24.660505,25.612357,25.83194,25.964209,12.141419435146442,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,adapter_state_source_age_at_update_ms,ROS source time,per run; diagnostic samples not event-paired,3346,0.0,8.0,20.0,20.0,20.0,20.0,9.260011954572624,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,adapter_state_source_age_at_update_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,1898,0.0,8.0,20.0,20.0,20.0,20.0,9.091675447839831,
