record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256491842290349,219,869,155,7159,8260,774,2685,10688
1785256491900195323,343,1670,342,13918,16244,1835,2780,23450
1785256491919107123,140,938,151,6049,6992,746,2780,9146
1785256491965877918,118,927,301,14907,18588,1973,2780,22207
1785256491998956855,140,917,262,15388,18328,2043,2780,22102
1785256492018157470,138,928,177,5626,6454,569,2780,8482
1785256492067094305,131,868,302,15645,19811,1967,2780,23370
1785256492076138480,131,868,302,15645,19811,1967,2780,23370
1785256492117630390,208,824,131,4820,5479,507,2780,7345
1785256492142674983,208,824,131,4820,5479,507,2780,7345
1785256492197277524,263,880,266,14114,16674,2351,2780,20725
1785256492216707236,131,893,126,4400,5028,431,2780,6788
1785256492268030357,118,931,304,16961,20697,1942,2780,24258
1785256492275985583,118,931,304,16961,20697,1942,2780,24258
1785256492319086408,236,926,119,3919,4488,396,2865,9375
1785256492367690322,123,873,295,16513,20538,1889,2865,23972
1785256492376038838,123,873,295,16513,20538,1889,2865,23972
1785256492416018835,225,880,121,3541,4044,317,2865,5759
1785256492442199941,225,880,121,3541,4044,317,2865,5759
1785256492494316187,247,932,302,11501,13959,2077,2865,17779
1785256492515487306,139,935,115,3441,3935,344,2865,5729
1785256492542044105,139,935,115,3441,3935,344,2865,5729
1785256492602134587,233,932,295,16986,20640,3205,2865,25570
1785256492615541454,133,1235,110,3484,4091,294,2865,6154
1785256492663401730,125,873,238,13541,16495,1851,2865,19822
1785256492675743739,125,873,238,13541,16495,1851,2865,19822
1785256492716544847,231,910,111,3906,4615,327,2865,6379
1785256492742839346,231,910,111,3906,4615,327,2865,6379
1785256492797806677,236,838,247,14662,18062,1566,2865,21188
1785256492820602353,192,1770,184,4698,5343,345,2426,10515
1785256492857057117,129,931,245,8882,10543,1495,2426,13553
1785256492897060588,132,868,277,13702,16852,1643,2426,20136
1785256492917009915,121,877,129,4616,5367,408,2426,7211
1785256492963203838,137,918,238,13629,16268,1527,2426,19321
1785256492976168728,137,918,238,13629,16268,1527,2426,19321
1785256493018067720,227,943,141,5168,6019,490,2426,8004
1785256493042598848,227,943,141,5168,6019,490,2426,8004
1785256493095987819,231,884,254,13319,16447,1337,2426,19389
1785256493118636205,135,1011,150,5826,6757,508,2426,8842
1785256493160824909,111,834,251,12157,14400,1403,2426,17207
1785256493195970303,125,829,282,12907,16197,1508,2426,19232
1785256493221400150,117,847,152,5478,6381,565,3096,11437
1785256493260765356,132,867,215,11823,14014,1358,3096,16792
1785256493276019394,132,867,215,11823,14014,1358,3096,16792
1785256493319736130,271,928,148,6330,7341,609,3096,9459
1785256493342473254,271,928,148,6330,7341,609,3096,9459
1785256493396459057,226,884,274,13418,16719,1437,3096,19778
1785256493420203073,126,867,160,7046,8194,784,3096,10416
1785256493459155099,135,868,249,11069,12978,1313,3096,15740
1785256493495455745,114,866,286,12762,16137,1433,3096,19098
1785256493521601264,131,871,181,8335,9655,841,3096,11881
1785256493558857891,127,866,205,10731,12565,1181,3096,15174
1785256493575927796,127,866,205,10731,12565,1181,3096,15174
1785256493622634825,210,868,187,9054,10451,969,3096,12863
1785256493642494629,210,868,187,9054,10451,969,3096,12863
1785256493698170486,229,878,272,12551,15292,1384,2872,21192
1785256493724062932,126,866,201,9966,11621,1140,2872,14188
1785256493756993211,110,868,208,9334,10862,1062,2872,13315
1785256493796090953,143,889,294,12892,16296,1503,2872,19430
1785256493825525918,111,876,218,11250,13070,1304,2872,15829
1785256493856674489,139,950,190,9199,10652,931,2872,13049
1785256493875906961,139,950,190,9199,10652,931,2872,13049
1785256493927585644,263,931,263,12191,14311,1271,2872,17255
1785256493942609957,263,931,263,12191,14311,1271,2872,17255
1785256493995858040,228,844,274,12972,16103,1587,2872,19332
1785256494028318101,140,931,247,13056,15294,1678,2872,18709
1785256494051322461,138,930,163,4984,5722,745,2872,7881
