record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785252875427346088,109,873,301,13333,15322,1361,3186,21379
1785252875478459963,237,833,227,12215,13522,1211,3186,16324
1785252875512548839,129,882,262,13157,15066,1181,3186,17714
1785252875538231533,128,866,161,6720,7348,573,3186,9245
1785252875561301968,128,866,161,6720,7348,573,3186,9245
1785252875614556150,212,878,288,13812,15766,1622,3186,18982
1785252875627795071,212,878,288,13812,15766,1622,3186,18982
1785252875677233711,228,877,226,11689,12824,1140,3186,15510
1785252875713229078,118,891,295,13276,15107,1348,3186,18038
1785252875740672104,130,884,191,8790,9676,797,3186,11887
1785252875776392314,146,904,219,11088,12132,1151,3186,14716
1785252875811235279,141,878,308,12216,13811,1217,3186,16560
1785252875845594328,131,889,205,9554,10491,1177,3528,16658
1785252875861377306,131,889,205,9554,10491,1177,3528,16658
1785252875912254601,219,867,290,12424,14135,1123,3528,16848
1785252875927762451,219,867,290,12424,14135,1123,3528,16848
1785252875973944591,356,1230,238,8624,9406,834,3528,12256
1785252876012102466,124,834,279,12368,14203,1352,3528,17001
1785252876027682174,124,834,279,12368,14203,1352,3528,17001
1785252876073873793,324,1118,194,8478,9287,827,3528,11947
1785252876115732942,207,1728,425,14135,16232,1914,3528,20747
1785252876143398769,125,841,201,10533,11577,1202,3528,14168
1785252876161406757,125,841,201,10533,11577,1202,3528,14168
1785252876212290391,213,850,320,12131,13761,1165,3528,16565
1785252876227965521,213,850,320,12131,13761,1165,3528,16565
1785252876271096222,214,832,153,6491,7116,610,3528,9108
1785252876313714455,125,831,287,13769,15657,1476,3528,18622
1785252876348172946,134,833,234,12465,13766,1216,3101,19523
1785252876370785465,125,881,168,6667,7262,644,3101,9253
1785252876415386894,193,1769,414,14705,16639,1341,3101,20574
1785252876445369846,127,866,233,12446,13709,1346,3101,16524
1785252876461198629,127,866,233,12446,13709,1346,3101,16524
1785252876512892080,228,827,301,12987,14659,1268,3101,17545
1785252876527682227,228,827,301,12987,14659,1268,3101,17545
1785252876569518488,238,908,146,5380,5872,487,3101,7813
1785252876614177831,151,981,327,14478,16183,1412,3101,19250
1785252876647025870,126,871,282,13622,15103,1393,3101,18048
1785252876668944611,117,876,148,4948,5416,379,3101,7097
1785252876714132946,125,884,300,14112,15876,1710,3101,19097
1785252876751007275,129,886,251,14050,15578,1553,3227,21869
1785252876761249312,129,886,251,14050,15578,1553,3227,21869
1785252876815268378,230,877,311,14628,16636,1408,3227,19723
1785252876827818486,230,877,311,14628,16636,1408,3227,19723
1785252876868157592,224,867,126,4097,4510,338,3227,6313
1785252876915245481,129,879,302,15309,17152,1549,3227,20199
1785252876947608110,130,818,289,14097,15642,1634,3227,18802
1785252876966351888,105,823,131,2566,2811,289,3227,4322
1785252877016171966,125,878,310,15822,17813,1805,3227,21144
1785252877043339914,124,874,265,9593,10858,1772,3227,14232
1785252877061152829,124,874,265,9593,10858,1772,3227,14232
1785252877114603468,230,879,304,13923,15802,1559,3227,19027
1785252877128080934,230,879,304,13923,15802,1559,3227,19027
1785252877167204680,213,862,114,3168,3525,294,3227,5153
1785252877212136794,122,830,280,9885,10958,1479,3120,16953
1785252877243137311,118,811,315,9877,11142,1435,3120,14135
1785252877267654504,120,816,120,3754,4117,299,3120,5670
1785252877312495421,118,894,276,13174,14685,1500,3120,17644
1785252877349210494,116,856,311,14943,16920,1534,3120,19966
1785252877361198557,116,856,311,14943,16920,1534,3120,19966
1785252877411867373,240,840,276,12258,13618,1219,3120,16510
1785252877427984037,240,840,276,12258,13618,1219,3120,16510
1785252877467258120,212,820,136,3267,3571,375,3120,5256
1785252877512026599,128,887,262,12924,14254,1209,3120,16908
1785252877548939537,125,1003,313,15019,16962,1415,3120,20071
1785252877569390135,142,930,149,5428,5921,423,3120,7806
1785252877616223592,112,873,258,13083,14469,1604,3454,20944
1785252877648759375,124,872,290,14034,15968,2231,3454,19711
1785252877661292987,124,872,290,14034,15968,2231,3454,19711
1785252877711835465,241,824,250,12155,13458,1226,3454,16338
1785252877727762630,241,824,250,12155,13458,1226,3454,16338
1785252877771518141,229,890,158,7036,7682,613,3454,9760
1785252877810189782,125,924,232,11606,12709,1076,3454,15220
1785252877827356285,125,924,232,11606,12709,1076,3454,15220
1785252877870903652,216,831,163,6684,7329,581,3454,9265
1785252877906519618,102,814,214,8162,8950,1177,3454,11428
1785252877946198936,128,832,300,12481,14173,1122,3454,16768
1785252877961454375,128,832,300,12481,14173,1122,3454,16768
1785252878010379432,223,870,225,11294,12344,1223,3454,15113
1785252878027611367,223,870,225,11294,12344,1223,3454,15113
1785252878073403003,209,885,181,8421,9205,767,3454,11400
1785252878112201191,187,1527,217,9717,10586,870,3317,16850
1785252878146964886,125,974,298,13211,14985,1497,3317,18132
1785252878170797185,183,911,175,6078,6656,881,3317,8986
1785252878207871141,126,899,206,9724,10597,855,3317,12833
1785252878245414461,110,887,312,12217,13847,1233,3317,16592
1785252878261452545,110,887,312,12217,13847,1233,3317,16592
1785252878307782056,244,871,197,9194,10055,858,3317,12429
1785252878327706598,244,871,197,9194,10055,858,3317,12429
1785252878376568882,351,1141,223,10948,11976,995,3317,14866
1785252878405611397,132,900,182,7809,8556,656,3317,10578
1785252878446750437,133,924,298,13409,15184,1279,3317,18019
1785252878477300651,131,926,214,11966,13081,1108,3317,15650
1785252878509248581,139,931,183,7874,8616,679,3611,14335
1785252878546325427,140,935,311,12905,14562,1269,3611,17418
1785252878561229157,140,935,311,12905,14562,1269,3611,17418
1785252878605141844,238,928,179,6965,7612,644,3611,9802
1785252878627654250,238,928,179,6965,7612,644,3611,9802
1785252878678220504,223,889,258,12451,13716,1207,3611,16451
1785252878702929694,111,846,158,5745,6260,449,3611,7982
1785252878746352819,125,866,303,13191,14871,1390,3611,17760
1785252878780483319,189,1688,355,13285,14781,1510,3611,18781
1785252878802878565,125,902,143,5616,6112,447,3611,7881
1785252878848727069,132,930,331,14780,16587,1381,3611,19550
1785252878861409869,132,930,331,14780,16587,1381,3611,19550
1785252878900925498,242,929,137,3313,3599,359,3611,5595
1785252878927600851,242,929,137,3313,3599,359,3611,5595
1785252878985182876,331,1687,393,14301,15801,1371,3550,23308
1785252879001441163,111,878,134,4467,4878,350,3550,6510
1785252879051379080,141,868,318,16744,19051,2008,3550,22668
1785252879061096044,141,868,318,16744,19051,2008,3550,22668
1785252879100876452,240,860,117,3723,4085,389,3550,5933
1785252879148571202,193,1580,302,14369,16094,1294,3550,19625
1785252879161414012,193,1580,302,14369,16094,1294,3550,19625
1785252879205673698,361,1938,188,6002,6706,596,3550,10017
1785252879227921909,361,1938,188,6002,6706,596,3550,10017
1785252879287181195,303,1683,447,18314,20759,1588,3550,25006
1785252879301053726,134,916,128,3702,4057,293,3550,5953
1785252879349545439,124,864,290,15227,17145,1753,3550,20390
1785252879382725220,132,868,320,15603,17514,1867,3550,20990
1785252879405782012,134,939,130,4554,5038,363,4045,10821
1785252879448154152,124,878,277,14604,16148,1355,4045,18964
1785252879461220956,124,878,277,14604,16148,1355,4045,18964
1785252879500663662,213,872,135,3062,3349,335,4045,5053
1785252879527841263,213,872,135,3062,3349,335,4045,5053
1785252879583824974,244,928,339,16461,18412,1795,4045,21931
1785252879602144234,121,938,136,4840,5301,397,4045,7058
1785252879647540423,127,877,294,14194,15726,1353,4045,18558
1785252879681538714,138,927,310,14962,16728,1446,4045,19822
1785252879702720000,139,929,151,5455,5945,440,4045,7778
1785252879747382428,121,833,277,14422,15879,1263,4045,18538
1785252879761159428,121,833,277,14422,15879,1263,4045,18538
1785252879803264198,214,881,150,5356,5839,421,4045,7658
1785252879827709834,214,881,150,5356,5839,421,4045,7658
1785252879889384827,368,1888,471,17230,19272,1527,3639,27398
1785252879903550802,139,865,148,5951,6504,505,3639,8429
1785252879946622564,115,935,270,13596,14931,1312,3639,17741
1785252879980275746,140,875,316,13625,15375,1537,3639,18484
1785252880003347286,130,882,158,6022,6571,538,3639,8455
1785252880046314671,118,843,251,13157,14404,1465,3639,17255
1785252880061343957,118,843,251,13157,14404,1465,3639,17255
1785252880102440933,210,1015,164,4315,4706,559,3639,6796
1785252880127910526,210,1015,164,4315,4706,559,3639,6796
1785252880180816721,326,969,302,13882,15795,1190,3639,18758
1785252880204802666,130,876,182,7047,7678,650,3639,9795
1785252880227547363,130,876,182,7047,7678,650,3639,9795
1785252880279864184,206,839,299,13303,15238,1208,3639,17975
1785252880311061521,125,875,209,8780,9574,843,3959,15795
1785252880343011166,123,818,230,10683,11648,966,3959,13939
1785252880361225472,123,818,230,10683,11648,966,3959,13939
1785252880406507187,206,878,195,8163,8910,745,3959,11086
1785252880427805440,206,878,195,8163,8910,745,3959,11086
1785252880477602372,210,821,287,11366,12892,1420,3959,15820
1785252880507534261,115,809,201,9381,10227,890,3959,12438
1785252880541405770,116,809,200,9558,10456,905,3959,12645
1785252880578313951,105,818,298,12117,13734,1146,3959,16320
1785252880605154284,116,820,224,7096,7700,973,3959,10053
1785252880640122852,117,808,205,8463,9206,719,3959,11199
1785252880661480040,117,808,205,8463,9206,719,3959,11199
1785252880710219683,227,811,222,11361,12408,1014,3959,14840
1785252880728030186,227,811,222,11361,12408,1014,3959,14840
1785252880782562810,231,852,303,12329,14021,1136,3513,20304
1785252880812101839,154,879,249,12878,14036,1330,3513,16903
1785252880838986407,125,863,177,7513,8164,612,3513,10103
1785252880861468836,125,863,177,7513,8164,612,3513,10103
1785252880911220550,219,876,249,12052,13222,1225,3513,15951
1785252880937912254,124,867,160,6341,6932,521,3513,8751
1785252880961298754,124,867,160,6341,6932,521,3513,8751
1785252881013512590,226,881,241,13629,15005,1511,3513,18042
1785252881027898744,226,881,241,13629,15005,1511,3513,18042
1785252881080297926,208,865,305,13577,15310,1257,3513,18201
1785252881113520113,123,865,277,13521,14957,1634,3513,18325
1785252881135725594,118,824,135,4904,5349,454,3513,7023
1785252881179912738,117,913,301,13501,15305,1221,3513,18049
1785252881218942497,132,875,288,15002,16556,1596,4046,23746
1785252881236692549,132,925,148,5436,5937,463,4046,7771
1785252881261338532,132,925,148,5436,5937,463,4046,7771
1785252881314503650,227,841,308,14640,16289,1332,4046,19187
1785252881327487857,227,841,308,14640,16289,1332,4046,19187
1785252881381674857,208,880,306,14524,16226,1901,4046,19847
1785252881415685159,123,873,280,15872,17592,1711,4046,20846
1785252881435096056,148,890,122,4357,4762,335,4046,6409
1785252881480511095,118,835,311,14257,15946,1377,4046,18777
1785252881513860511,117,881,298,14421,16015,1378,4046,18961
1785252881534893445,116,835,134,4139,4541,309,4046,6100
1785252881561300074,116,835,134,4139,4541,309,4046,6100
1785252881615097740,211,836,286,14881,16500,1386,4046,19405
1785252881627686706,211,836,286,14881,16500,1386,4046,19405
1785252881685794423,206,876,312,15031,16808,1475,3722,23695
1785252881714119937,121,818,290,14088,15607,1798,3722,19029
1785252881735177228,116,821,125,4396,4802,379,3722,6393
1785252881781102388,125,821,293,14935,16651,1371,3722,19439
1785252881808706690,101,834,272,9744,10847,1383,3722,13698
1785252881835226491,162,894,129,4213,4589,320,3722,6217
1785252881861297663,162,894,129,4213,4589,320,3722,6217
1785252881911093064,257,883,310,10957,12285,1603,3722,15553
1785252881927631062,257,883,310,10957,12285,1603,3722,15553
1785252881981549178,252,939,308,14828,16354,1382,3722,19567
1785252882014853944,116,827,294,14999,16808,1545,3722,19837
1785252882027642441,116,827,294,14999,16808,1545,3722,19837
1785252882079856027,234,824,275,13675,15145,1315,3722,18054
1785252882118779194,140,876,318,14938,16944,1454,3734,23725
1785252882135790476,124,863,135,4536,4932,383,3734,6704
1785252882161221956,124,863,135,4536,4932,383,3734,6704
1785252882215186390,216,844,308,14920,16818,1327,3734,19678
1785252882227711929,216,844,308,14920,16818,1327,3734,19678
1785252882279293084,215,880,262,12921,14241,1262,3734,17109
1785252882316346609,124,868,331,15682,17664,1799,3734,21082
1785252882337121371,121,817,145,5605,6131,495,3734,7998
1785252882378994666,128,866,265,13237,14490,1109,3734,17019
1785252882412838564,117,842,310,13240,15079,1225,3734,17826
1785252882435772122,121,841,173,4529,4910,542,3734,6763
1785252882461139602,121,841,173,4529,4910,542,3734,6763
1785252882513948528,206,869,316,13633,15250,1409,3734,18262
1785252882528051880,206,869,316,13633,15250,1409,3734,18262
1785252882579892107,194,830,238,10761,11735,1012,3680,17924
1785252882612044170,126,865,299,12555,14202,1188,3680,16891
1785252882640058905,129,879,201,8345,9100,735,3680,11251
1785252882675944685,116,817,209,10518,11520,1206,3680,14027
1785252882711653214,118,848,292,12666,14240,1050,3680,16773
1785252882740784862,106,838,208,8731,9534,770,3680,11660
1785252882761491704,106,838,208,8731,9534,770,3680,11660
1785252882812573036,221,810,297,12441,14081,1313,3680,16961
1785252882827727280,221,810,297,12441,14081,1313,3680,16961
1785252882874038097,208,825,208,8980,9774,802,3680,12019
1785252882912066775,101,829,284,12462,14143,1273,3680,16858
1785252882941960638,121,827,208,9833,10725,1014,3680,13090
1785252882961050314,121,827,208,9833,10725,1014,3680,13090
1785252883015970545,221,848,307,12688,14357,1269,3784,20994
1785252883043142932,135,881,235,10695,11637,994,3784,14214
1785252883061242748,135,881,235,10695,11637,994,3784,14214
1785252883113580258,239,806,294,13525,15512,1186,3784,18244
1785252883128170724,239,806,294,13525,15512,1186,3784,18244
1785252883172072279,233,865,189,7343,8023,635,3784,10223
1785252883208325128,129,879,310,9112,10369,1337,3784,13218
1785252883227374021,129,879,310,9112,10369,1337,3784,13218
1785252883271238202,196,838,168,6924,7554,531,3784,9430
1785252883314061097,201,1710,411,13293,14917,1624,3784,19105
1785252883346316023,123,1004,244,12779,14056,1578,3784,17241
1785252883361294090,123,1004,244,12779,14056,1578,3784,17241
1785252883413671931,212,950,323,13242,15050,1196,3784,17980
1785252883427885665,212,950,323,13242,15050,1196,3784,17980
1785252883469973081,207,874,151,5383,5874,427,3784,7844
1785252883519313053,134,927,317,15115,17318,1459,3937,24289
1785252883547039171,130,874,244,14042,15479,1259,3937,18315
1785252883568989021,108,889,151,4908,5310,382,3937,6993
1785252883616789615,116,819,300,16087,18070,1891,3937,21410
1785252883647864602,118,823,306,13743,15179,1855,3937,18577
1785252883661335904,118,823,306,13743,15179,1855,3937,18577
1785252883715698078,214,834,331,15221,16879,1623,3937,20157
1785252883727827267,214,834,331,15221,16879,1623,3937,20157
1785252883767940369,198,838,132,4070,4492,312,3937,6237
1785252883817626467,145,872,351,16831,18913,1942,3937,22439
1785252883827859404,145,872,351,16831,18913,1942,3937,22439
1785252883867542673,223,915,122,3580,3935,281,3937,5650
1785252883915734828,126,910,462,15799,17460,1478,3937,20618
1785252883954404262,125,867,310,15889,17569,1901,4026,25081
1785252883961028323,125,867,310,15889,17569,1901,4026,25081
1785252884015228281,232,808,299,15142,16748,1437,4026,19803
1785252884027857519,232,808,299,15142,16748,1437,4026,19803
1785252884067511970,193,813,122,3566,3927,279,4026,5475
1785252884114438103,123,819,295,14491,16062,2008,4026,19513
1785252884150013352,116,812,308,16079,17729,1757,4026,20974
1785252884167878920,119,843,119,4112,4525,326,4026,6068
1785252884211654016,106,824,276,12661,14010,1326,4026,16691
1785252884249767651,122,815,312,15334,17061,2016,4026,20601
1785252884261333894,122,815,312,15334,17061,2016,4026,20601
1785252884313637665,229,883,287,13784,15227,1461,4026,18323
1785252884327944307,229,883,287,13784,15227,1461,4026,18323
1785252884368801491,213,881,143,4813,5229,417,4026,7025
1785252884411353891,122,832,271,8971,9862,1199,3542,15980
1785252884449076266,124,865,317,15788,17466,1417,3542,20405
1785252884467363749,121,885,132,3584,3913,452,3542,5641
1785252884515978933,182,1756,388,15596,17266,1345,3542,21121
1785252884547680542,124,864,315,14320,16033,1350,3542,18922
1785252884561053225,124,864,315,14320,16033,1350,3542,18922
1785252884614479665,228,876,306,14702,16097,1334,3542,19093
1785252884627567999,228,876,306,14702,16097,1334,3542,19093
1785252884668312796,214,879,160,4355,4723,478,3542,6592
1785252884712643706,140,925,266,13507,14719,1362,3542,17575
1785252884746722792,132,866,299,13776,15410,1285,3542,18199
1785252884769234435,123,865,180,4761,5194,643,3542,7196
1785252884810545466,108,874,243,8303,9034,1170,3602,15182
1785252884848179926,123,872,310,14247,16047,1415,3602,19007
1785252884861456127,123,872,310,14247,16047,1415,3602,19007
1785252884911394417,328,1676,294,11310,12324,1121,3602,15951
1785252884928171984,328,1676,294,11310,12324,1121,3602,15951
1785252884972823748,216,905,199,8066,8744,681,3602,10905
1785252885009668339,125,878,245,11119,12108,1049,3602,14551
1785252885027413382,125,878,245,11119,12108,1049,3602,14551
1785252885074019994,255,881,203,9164,9947,830,3602,12265
1785252885108770659,136,869,225,10444,11381,1043,3602,13816
1785252885147491742,120,930,321,13780,15521,1266,3602,18388
1785252885161224929,120,930,321,13780,15521,1266,3602,18388
1785252885208475189,224,872,239,9924,10795,898,3602,13221
1785252885227673104,224,872,239,9924,10795,898,3602,13221
1785252885276577519,228,880,229,10921,12022,1141,3602,14654
1785252885311183394,108,892,206,8779,9533,926,4090,15914
1785252885346845083,130,871,310,13820,15450,1093,4090,18041
1785252885360900158,130,871,310,13820,15450,1093,4090,18041
1785252885405432587,222,1007,189,7740,8401,680,4090,10669
1785252885446748051,125,894,308,13039,14701,1646,4090,17895
1785252885461211841,125,894,308,13039,14701,1646,4090,17895
1785252885506053619,203,836,185,8035,8696,635,4090,10732
1785252885527830968,203,836,185,8035,8696,635,4090,10732
1785252885579201714,344,1769,381,12467,13593,1163,4090,17434
1785252885603293188,102,820,162,5816,6316,499,4090,8035
1785252885627382867,102,820,162,5816,6316,499,4090,8035
1785252885678898164,220,835,290,12825,14097,1132,4090,16746
1785252885702863175,123,888,157,5706,6196,514,4090,8022
1785252885748765308,120,843,324,14783,16556,1878,4090,19943
1785252885761099671,120,843,324,14783,16556,1878,4090,19943
1785252885806895233,218,830,135,4443,4847,359,4551,11099
1785252885827673845,218,830,135,4443,4847,359,4551,11099
1785252885880017803,223,868,280,13810,15159,1322,4551,18016
1785252885899783864,116,883,129,2771,3020,315,4551,4601
1785252885950231061,157,862,319,16673,18456,1630,4551,21621
1785252885981822149,131,874,297,15478,17037,1521,4551,20093
1785252885999789460,158,936,128,2946,3210,334,4551,4920
1785252886048755813,133,926,325,14804,16437,1766,4551,19768
1785252886061366464,133,926,325,14804,16437,1766,4551,19768
1785252886101967545,221,825,133,4410,4805,384,4551,6520
1785252886127826584,221,825,133,4410,4805,384,4551,6520
1785252886184239092,221,876,321,16996,18781,1983,4551,22384
1785252886199878204,126,886,124,2993,3262,342,4551,4888
1785252886227295912,126,886,124,2993,3262,342,4551,4888
1785252886287113533,306,1677,422,15810,17430,1537,3842,25387
1785252886301090804,125,872,134,4275,4660,317,3842,6255
1785252886347568275,124,867,297,14116,15605,1502,3842,18572
1785252886361349514,124,867,297,14116,15605,1502,3842,18572
1785252886400536119,202,828,142,3014,3284,361,3842,4968
1785252886428002212,202,828,142,3014,3284,361,3842,4968
1785252886482068529,225,884,307,14830,16500,1927,3842,20043
1785252886500001692,123,864,125,3076,3359,364,3842,4976
1785252886548702078,136,862,305,15407,16963,1435,3842,19868
1785252886580890635,108,878,323,14366,15928,1406,3842,18891
1785252886602444175,124,874,149,5275,5721,481,3842,7508
1785252886647197156,123,898,313,12804,14380,2268,3842,18194
1785252886661286136,123,898,313,12804,14380,2268,3842,18194
1785252886705898145,321,1219,140,3168,3440,372,4113,9745
1785252886727845303,321,1219,140,3168,3440,372,4113,9745
1785252886782251871,216,828,311,15019,16857,1854,4113,20292
1785252886800382573,117,958,159,3283,3569,383,4113,5335
1785252886827603732,117,958,159,3283,3569,383,4113,5335
1785252886880835439,198,822,330,14619,16185,1344,4113,19053
1785252886902405961,135,893,148,5108,5534,385,4113,7262
1785252886945705371,122,824,264,12865,14076,1328,4113,16757
1785252886960987113,122,824,264,12865,14076,1328,4113,16757
1785252887004083011,238,871,155,6237,6796,507,4113,8706
1785252887027826781,238,871,155,6237,6796,507,4113,8706
1785252887079666113,215,821,302,13516,15158,1198,4113,17879
1785252887104202247,144,871,177,6722,7272,559,4113,9192
1785252887145333256,117,855,256,12064,13174,1624,4113,16192
1785252887183439369,111,884,287,13295,14815,1116,3987,21389
1785252887206116487,125,870,204,8211,8929,727,3987,11048
1785252887245696801,184,1709,335,12243,13301,1008,3987,16716
1785252887261248706,184,1709,335,12243,13301,1008,3987,16716
1785252887307365567,239,889,203,8670,9459,781,3987,11730
1785252887327745180,239,889,203,8670,9459,781,3987,11730
1785252887378905769,226,918,308,12999,14573,1129,3987,17344
1785252887405014906,137,940,220,7213,7788,941,3987,10223
1785252887427192073,137,940,220,7213,7788,941,3987,10223
1785252887478974893,209,878,301,13087,14662,1067,3987,17306
1785252887508795978,127,864,203,10652,11592,940,3987,13908
1785252887540418767,115,818,213,8647,9401,752,3987,11446
1785252887561004496,115,818,213,8647,9401,752,3987,11446
1785252887612007384,366,1774,354,11537,12526,1477,3987,16712
1785252887627830682,366,1774,354,11537,12526,1477,3987,16712
1785252887683988547,197,833,308,13209,14845,1289,4265,21942
1785252887710720842,125,875,250,11594,12687,1423,4265,15592
1785252887738980582,119,834,181,7508,8140,688,4265,10109
1785252887780325200,127,887,317,14220,15895,1128,4265,18532
1785252887810827079,104,834,285,11769,12848,1508,4265,15812
1785252887838776097,136,1037,223,7125,7759,581,4265,9956
1785252887860963655,136,1037,223,7125,7759,581,4265,9956
1785252887913253516,248,938,284,13844,15024,1209,4265,17868
1785252887927803781,248,938,284,13844,15024,1209,4265,17868
1785252887980701813,221,902,335,14020,15658,1468,4265,18829
1785252888014254824,122,864,279,14613,16017,1728,4265,19296
1785252888036527467,123,873,151,5676,6147,462,4265,7892
1785252888084819472,125,878,310,14693,16335,1195,3984,23017
1785252888114227768,108,875,299,14739,16143,1322,3984,18993
1785252888136680823,132,878,228,5340,5806,421,3984,7723
1785252888161504102,132,878,228,5340,5806,421,3984,7723
1785252888211216075,339,1718,391,10350,11398,1698,3984,15748
1785252888227778814,339,1718,391,10350,11398,1698,3984,15748
1785252888282157317,206,874,316,15347,17048,1461,3984,20175
