record_time_ns,header_ns,timebase_ns,point_count,offset_min_ns,offset_max_ns,offset_regressions,scan_start_ns,scan_end_ns,frame_id,imu_sample_count,first_imu_ns,last_imu_ns,start_bracket,end_bracket,maximum_imu_gap_ns
1701245216803483771,1701245216759207726,1701245216759207726,6528,0,32635000,0,1701245216759207726,1701245216791842726,livox_frame,7,1701245216757108455,1701245216793343080,1,1,6225605
1701245216836048624,1701245216791709185,1701245216791709185,6528,0,32635000,0,1701245216791709185,1701245216824344185,livox_frame,8,1701245216787117475,1701245216827188996,1,1,6225605
1701245216869881843,1701245216825570107,1701245216825570107,6528,0,32635000,0,1701245216825570107,1701245216858205107,livox_frame,8,1701245216821214533,1701245216861175335,1,1,6104437
1701245216903077980,1701245216858744860,1701245216858744860,6528,0,32635000,0,1701245216858744860,1701245216891379860,livox_frame,8,1701245216855210049,1701245216897179046,1,1,6156349
1701245216936767319,1701245216892512560,1701245216892512560,6528,0,32635000,0,1701245216892512560,1701245216925147560,livox_frame,7,1701245216891233782,1701245216925486061,1,1,6198552
1701245216969852623,1701245216925550938,1701245216925550938,6528,0,32635000,0,1701245216925550938,1701245216958185938,livox_frame,7,1701245216925486061,1701245216959201378,1,1,6075750
1701245217003019719,1701245216958721638,1701245216958721638,6528,0,32635000,0,1701245216958721638,1701245216991356638,livox_frame,8,1701245216953168461,1701245216993336920,1,1,6111818
1701245217037130907,1701245216992742300,1701245216992742300,6528,0,32635000,0,1701245216992742300,1701245217025377300,livox_frame,8,1701245216989149185,1701245217029141950,1,1,6106792
1701245217069448167,1701245217025070190,1701245217025070190,6528,0,32635000,0,1701245217025070190,1701245217057705190,livox_frame,8,1701245217023099280,1701245217063300235,1,1,6179165
1701245217103497278,1701245217059239388,1701245217059239388,6528,0,32635000,0,1701245217059239388,1701245217091874388,livox_frame,8,1701245217057312109,1701245217097086390,1,1,6260632
1701245217135818717,1701245217091569901,1701245217091569901,6528,0,32635000,0,1701245217091569901,1701245217124204901,livox_frame,7,1701245217091186814,1701245217127097429,1,1,6253282
1701245217169810755,1701245217125601053,1701245217125601053,6528,0,32635000,0,1701245217125601053,1701245217158236053,livox_frame,8,1701245217121074728,1701245217161120368,1,1,6233262
1701245217203107818,1701245217158762932,1701245217158762932,6528,0,32635000,0,1701245217158762932,1701245217191397932,livox_frame,8,1701245217155359513,1701245217195325496,1,1,6108772
1701245217236908458,1701245217192536592,1701245217192536592,6528,0,32635000,0,1701245217192536592,1701245217225171592,livox_frame,8,1701245217189366256,1701245217229302096,1,1,6043175
1701245217269814152,1701245217225550413,1701245217225550413,6528,0,32635000,0,1701245217225550413,1701245217258185413,livox_frame,7,1701245217223372538,1701245217259153161,1,1,6035877
1701245217302986464,1701245217258645296,1701245217258645296,6528,0,32635000,0,1701245217258645296,1701245217291280296,livox_frame,8,1701245217253121017,1701245217293060066,1,1,6232288
1701245217337018858,1701245217292716503,1701245217292716503,6528,0,32635000,0,1701245217292716503,1701245217325351503,livox_frame,8,1701245217287090677,1701245217329258331,1,1,7853394
1701245217369413035,1701245217325094461,1701245217325094461,6528,0,32635000,0,1701245217325094461,1701245217357729461,livox_frame,8,1701245217321404937,1701245217363064085,1,1,7853394
1701245217403497456,1701245217359208345,1701245217359208345,6528,0,32635000,0,1701245217359208345,1701245217391843345,livox_frame,8,1701245217357136173,1701245217397096165,1,1,6048107
1701245217435882620,1701245217391524553,1701245217391524553,6528,0,32635000,0,1701245217391524553,1701245217424159553,livox_frame,7,1701245217391083900,1701245217426307960,1,1,7241891
1701245217469919676,1701245217425613165,1701245217425613165,6528,0,32635000,0,1701245217425613165,1701245217458248165,livox_frame,8,1701245217420295312,1701245217460297981,1,1,6328964
1701245217503070742,1701245217458757162,1701245217458757162,6528,0,32635000,0,1701245217458757162,1701245217491392162,livox_frame,8,1701245217454283946,1701245217496073954,1,1,6075007
1701245217536894901,1701245217492529154,1701245217492529154,6528,0,32635000,0,1701245217492529154,1701245217525164154,livox_frame,8,1701245217490149964,1701245217530143085,1,1,6127479
1701245217569907520,1701245217525558710,1701245217525558710,6528,0,32635000,0,1701245217525558710,1701245217558193710,livox_frame,7,1701245217524075983,1701245217558321923,1,1,6067102
1701245217603126078,1701245217558691263,1701245217558691263,6528,0,32635000,0,1701245217558691263,1701245217591326263,livox_frame,7,1701245217558321923,1701245217592292632,1,1,6200264
1701245217637184376,1701245217592749357,1701245217592749357,6528,0,32635000,0,1701245217592749357,1701245217625384357,livox_frame,7,1701245217592292632,1701245217628131123,1,1,6031271
1701245217669392400,1701245217625072241,1701245217625072002,6528,0,32635000,0,1701245217625072002,1701245217657707002,livox_frame,8,1701245217622099852,1701245217662179547,1,1,6073179
1701245217703476917,1701245217659198284,1701245217659198284,6528,0,32635000,0,1701245217659198284,1701245217691833284,livox_frame,8,1701245217656138227,1701245217696402714,1,1,6084160
1701245217735990272,1701245217691550970,1701245217691550970,6528,0,32635000,0,1701245217691550970,1701245217724185970,livox_frame,7,1701245217690318554,1701245217726420992,1,1,6186815
1701245217769874159,1701245217725555182,1701245217725555182,6528,0,32635000,0,1701245217725555182,1701245217758190182,livox_frame,8,1701245217720234177,1701245217760304753,1,1,6186815
1701245217803133980,1701245217758765936,1701245217758765697,6528,0,32635000,0,1701245217758765697,1701245217791400697,livox_frame,8,1701245217754130412,1701245217794137447,1,1,6174341
1701245217836912464,1701245217792546511,1701245217792546511,6528,0,32635000,0,1701245217792546511,1701245217825181511,livox_frame,8,1701245217788132859,1701245217830189327,1,1,6240216
1701245217869816675,1701245217825511217,1701245217825511217,6528,0,32635000,0,1701245217825511217,1701245217858146217,livox_frame,7,1701245217824231246,1701245217858194224,1,1,6066331
1701245217903027242,1701245217858682156,1701245217858682156,6528,0,32635000,0,1701245217858682156,1701245217891317156,livox_frame,7,1701245217858194224,1701245217892099580,1,1,6026715
1701245217937000046,1701245217892721891,1701245217892721891,6528,0,32635000,0,1701245217892721891,1701245217925356891,livox_frame,7,1701245217892099580,1701245217928081090,1,1,6076210
1701245217969525771,1701245217925069571,1701245217925069571,6528,0,32635000,0,1701245217925069571,1701245217957704571,livox_frame,8,1701245217922114400,1701245217962197620,1,1,6322338
1701245218003480402,1701245217959239960,1701245217959239960,6528,0,32635000,0,1701245217959239960,1701245217991874960,livox_frame,8,1701245217956306669,1701245217996112581,1,1,6111184
1701245218035761499,1701245217991471529,1701245217991471529,6528,0,32635000,0,1701245217991471529,1701245218024106529,livox_frame,7,1701245217990185914,1701245218026123020,1,1,6154549
1701245218069884866,1701245218025590897,1701245218025590897,6528,0,32635000,0,1701245218025590897,1701245218058225897,livox_frame,8,1701245218020070101,1701245218060140354,1,1,6063621
1701245218103078103,1701245218058764696,1701245218058764696,6528,0,32635000,0,1701245218058764696,1701245218091399696,livox_frame,8,1701245218054177356,1701245218094332612,1,1,6160570
1701245218136868046,1701245218092513800,1701245218092513800,6528,0,32635000,0,1701245218092513800,1701245218125148800,livox_frame,8,1701245218088223162,1701245218128087723,1,1,6138127
1701245218169302767,1701245218124939680,1701245218124939680,6528,0,32635000,0,1701245218124939680,1701245218157574680,livox_frame,7,1701245218122224576,1701245218158144563,1,1,6064567
1701245218203145394,1701245218158703804,1701245218158703804,6528,0,32635000,0,1701245218158703804,1701245218191338804,livox_frame,7,1701245218158144563,1701245218192089450,1,1,6052336
1701245218237282703,1701245218192756653,1701245218192756653,6528,0,32635000,0,1701245218192756653,1701245218225391653,livox_frame,7,1701245218192089450,1701245218226307220,1,1,6248041
1701245218269538556,1701245218225128174,1701245218225128174,6528,0,32635000,0,1701245218225128174,1701245218257763174,livox_frame,8,1701245218220339929,1701245218260294887,1,1,6309951
1701245218303559257,1701245218259225607,1701245218259225607,6528,0,32635000,0,1701245218259225607,1701245218291860607,livox_frame,8,1701245218256226100,1701245218296114860,1,1,5993488
1701245218335976801,1701245218291592598,1701245218291592598,6528,0,32635000,0,1701245218291592598,1701245218324227598,livox_frame,8,1701245218290133328,1701245218330112461,1,1,6231645
1701245218369841536,1701245218325552225,1701245218325552225,6528,0,32635000,0,1701245218325552225,1701245218358187225,livox_frame,7,1701245218324086844,1701245218360201662,1,1,6089845
1701245218403127424,1701245218358761787,1701245218358761787,6528,0,32635000,0,1701245218358761787,1701245218391396787,livox_frame,8,1701245218354288980,1701245218394134320,1,1,6123249
1701245218436835057,1701245218392506599,1701245218392506599,6528,0,32635000,0,1701245218392506599,1701245218425141599,livox_frame,8,1701245218388276963,1701245218429139180,1,1,6057319
1701245218469781782,1701245218425524473,1701245218425524473,6528,0,32635000,0,1701245218425524473,1701245218458159473,livox_frame,8,1701245218423081861,1701245218463351919,1,1,6176819
1701245218502982527,1701245218458682060,1701245218458682060,6528,0,32635000,0,1701245218458682060,1701245218491317060,livox_frame,7,1701245218457436272,1701245218491414415,1,1,6199429
1701245218536947260,1701245218492723942,1701245218492723942,6528,0,32635000,0,1701245218492723942,1701245218525358942,livox_frame,7,1701245218491414415,1701245218527154576,1,1,6233088
1701245218569353695,1701245218525099039,1701245218525099039,6528,0,32635000,0,1701245218525099039,1701245218557734039,livox_frame,8,1701245218521163148,1701245218561084248,1,1,6092833
1701245218603458215,1701245218559207678,1701245218559207678,6528,0,32635000,0,1701245218559207678,1701245218591842678,livox_frame,8,1701245218555213522,1701245218595339108,1,1,6190673
1701245218635943880,1701245218591540575,1701245218591540575,6528,0,32635000,0,1701245218591540575,1701245218624175575,livox_frame,8,1701245218589148435,1701245218629330785,1,1,6190673
1701245218669771679,1701245218625541925,1701245218625541925,6528,0,32635000,0,1701245218625541925,1701245218658176925,livox_frame,7,1701245218623309776,1701245218659208965,1,1,6124635
1701245218703095355,1701245218658745527,1701245218658745527,6528,0,32635000,0,1701245218658745527,1701245218691380527,livox_frame,8,1701245218653084330,1701245218693103170,1,1,6124635
1701245218736928452,1701245218692523956,1701245218692523956,6528,0,32635000,0,1701245218692523956,1701245218725158956,livox_frame,8,1701245218687079034,1701245218729292619,1,1,7597871
1701245218769876020,1701245218725540638,1701245218725540638,6528,0,32635000,0,1701245218725540638,1701245218758175638,livox_frame,8,1701245218723196571,1701245218763285545,1,1,6168447
1701245218803148621,1701245218758719683,1701245218758719683,6528,0,32635000,0,1701245218758719683,1701245218791354683,livox_frame,8,1701245218757143482,1701245218797078728,1,1,6142063
1701245218837133379,1701245218792820454,1701245218792820454,6528,0,32635000,0,1701245218792820454,1701245218825455454,livox_frame,8,1701245218791063285,1701245218831102855,1,1,6041191
1701245218869477021,1701245218825052977,1701245218825052977,6528,0,32635000,0,1701245218825052977,1701245218857687977,livox_frame,8,1701245218821103017,1701245218859337557,1,1,6153727
1701245218903572805,1701245218859211683,1701245218859211683,6528,0,32635000,0,1701245218859211683,1701245218891846683,livox_frame,8,1701245218855324109,1701245218895241245,1,1,6166832
1701245218935999219,1701245218891597509,1701245218891597509,6528,0,32635000,0,1701245218891597509,1701245218924232509,livox_frame,8,1701245218889074413,1701245218929093240,1,1,6166832
1701245218969857290,1701245218925569057,1701245218925569057,6528,0,32635000,0,1701245218925569057,1701245218958204057,livox_frame,7,1701245218923082458,1701245218959098786,1,1,6085522
1701245219003230299,1701245218958760023,1701245218958760023,6528,0,32635000,0,1701245218958760023,1701245218991395023,livox_frame,8,1701245218953095791,1701245218993215785,1,1,6217267
1701245219036849219,1701245218992510796,1701245218992510796,6528,0,32635000,0,1701245218992510796,1701245219025145796,livox_frame,8,1701245218987360308,1701245219027213474,1,1,6316720
1701245219069804512,1701245219025561333,1701245219025561333,6528,0,32635000,0,1701245219025561333,1701245219058196333,livox_frame,8,1701245219021081472,1701245219061121085,1,1,6132002
1701245219103166116,1701245219058696270,1701245219058696270,6528,0,32635000,0,1701245219058696270,1701245219091331270,livox_frame,8,1701245219055185323,1701245219097069686,1,1,6274929
1701245219137073586,1701245219092718601,1701245219092718601,6528,0,32635000,0,1701245219092718601,1701245219125353601,livox_frame,8,1701245219091074837,1701245219131119639,1,1,6212750
1701245219169426287,1701245219125086784,1701245219125086784,6528,0,32635000,0,1701245219125086784,1701245219157721784,livox_frame,8,1701245219119210159,1701245219159148797,1,1,6083712
1701245219203547141,1701245219159219503,1701245219159219503,6528,0,32635000,0,1701245219159219503,1701245219191854503,livox_frame,7,1701245219159148797,1701245219195112625,1,1,6044764
1701245219235860328,1701245219191522598,1701245219191522598,6528,0,32635000,0,1701245219191522598,1701245219224157598,livox_frame,8,1701245219189109432,1701245219229109647,1,1,6239048
1701245219269836716,1701245219225546122,1701245219225546122,6528,0,32635000,0,1701245219225546122,1701245219258181122,livox_frame,8,1701245219223315839,1701245219263193865,1,1,6250900
1701245219302959646,1701245219258723497,1701245219258723497,6528,0,32635000,0,1701245219258723497,1701245219291358497,livox_frame,7,1701245219257425037,1701245219293107825,1,1,6125551
1701245219336833775,1701245219292492867,1701245219292492867,6528,0,32635000,0,1701245219292492867,1701245219325127867,livox_frame,8,1701245219287060212,1701245219327087799,1,1,6154492
1701245219369760536,1701245219325495958,1701245219325495958,6528,0,32635000,0,1701245219325495958,1701245219358130958,livox_frame,8,1701245219321056312,1701245219361173505,1,1,6192102
1701245219403057990,1701245219358732939,1701245219358732939,6528,0,32635000,0,1701245219358732939,1701245219391367939,livox_frame,8,1701245219355282730,1701245219395290926,1,1,6109822
1701245219436917717,1701245219392716169,1701245219392716408,6528,0,32635000,0,1701245219392716408,1701245219425351408,livox_frame,8,1701245219391169815,1701245219431071342,1,1,6106159
1701245219469310061,1701245219425073147,1701245219425073147,6528,0,32635000,0,1701245219425073147,1701245219457708147,livox_frame,8,1701245219419073375,1701245219459091186,1,1,6106159
1701245219503494775,1701245219459188223,1701245219459188223,6528,0,32635000,0,1701245219459188223,1701245219491823223,livox_frame,7,1701245219459091186,1701245219493184698,1,1,6354611
1701245219535875504,1701245219491555929,1701245219491555929,6528,0,32635000,0,1701245219491555929,1701245219524190929,livox_frame,8,1701245219489088003,1701245219529338991,1,1,6196141
1701245219569907121,1701245219525554180,1701245219525554180,6528,0,32635000,0,1701245219525554180,1701245219558189180,livox_frame,8,1701245219523142850,1701245219563030910,1,1,6199322
1701245219603274317,1701245219558765888,1701245219558765888,6528,0,32635000,0,1701245219558765888,1701245219591400888,livox_frame,8,1701245219557095070,1701245219597054895,1,1,6206927
1701245219636943827,1701245219592485428,1701245219592485428,6528,0,32635000,0,1701245219592485428,1701245219625120428,livox_frame,7,1701245219591157387,1701245219625330690,1,1,6194187
1701245219670014154,1701245219625499487,1701245219625499487,6528,0,32635000,0,1701245219625499487,1701245219658134487,livox_frame,7,1701245219625330690,1701245219661144037,1,1,6127763
1701245219703011804,1701245219658652782,1701245219658652782,6528,0,32635000,0,1701245219658652782,1701245219691287782,livox_frame,8,1701245219655341686,1701245219695181548,1,1,6097116
1701245219737079556,1701245219692794085,1701245219692794085,6528,0,32635000,0,1701245219692794085,1701245219725429085,livox_frame,8,1701245219689084432,1701245219731080949,1,1,6157477
