accepted_residual_count,clock_domain,corrected_estimate_valid,covariance_trace,deskew_applied,estimate_validity,imu_samples_per_scan,last_lidar_correction_time_ns,level,lidar_update_status,map_point_count,output_time_ns,predicted_estimate_valid,reason,record_time_ns,registered_scan_valid,residual_rms_m,status
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412043281,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412190147,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412340423,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412489683,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412638616,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412788283,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571412938092,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413087767,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413237277,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413395947,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413552927,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413703090,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571413859992,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414010783,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414156928,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414305767,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414463278,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414618082,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414770537,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571414930467,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415088181,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415245834,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415407603,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415564960,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415721532,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571415878241,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416035427,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416191826,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416353078,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416519909,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416684726,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571416849640,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417015778,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417183203,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417350353,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417519735,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417686924,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571417856867,false,0.104263,TRACKING
